id,base_temperature_id/id,altitude_id/id,temperature
of_calculation_heat_loss.of_calculation_base_temperature_line_1,of_calculation_heat_loss.base_temperature_1,of_calculation_heat_loss.altitude_1,-2.0
of_calculation_heat_loss.of_calculation_base_temperature_line_2,of_calculation_heat_loss.base_temperature_1,of_calculation_heat_loss.altitude_2,-3.0
of_calculation_heat_loss.of_calculation_base_temperature_line_3,of_calculation_heat_loss.base_temperature_1,of_calculation_heat_loss.altitude_3,-4.0
of_calculation_heat_loss.of_calculation_base_temperature_line_4,of_calculation_heat_loss.base_temperature_1,of_calculation_heat_loss.altitude_4,-4.0
of_calculation_heat_loss.of_calculation_base_temperature_line_5,of_calculation_heat_loss.base_temperature_1,of_calculation_heat_loss.altitude_5,-5.0
of_calculation_heat_loss.of_calculation_base_temperature_line_6,of_calculation_heat_loss.base_temperature_1,of_calculation_heat_loss.altitude_6,-6.0
of_calculation_heat_loss.of_calculation_base_temperature_line_7,of_calculation_heat_loss.base_temperature_2,of_calculation_heat_loss.altitude_1,-4.0
of_calculation_heat_loss.of_calculation_base_temperature_line_8,of_calculation_heat_loss.base_temperature_2,of_calculation_heat_loss.altitude_2,-5.0
of_calculation_heat_loss.of_calculation_base_temperature_line_9,of_calculation_heat_loss.base_temperature_2,of_calculation_heat_loss.altitude_3,-6.0
of_calculation_heat_loss.of_calculation_base_temperature_line_10,of_calculation_heat_loss.base_temperature_3,of_calculation_heat_loss.altitude_11,-11.0
of_calculation_heat_loss.of_calculation_base_temperature_line_11,of_calculation_heat_loss.base_temperature_3,of_calculation_heat_loss.altitude_12,-11.0
of_calculation_heat_loss.of_calculation_base_temperature_line_12,of_calculation_heat_loss.base_temperature_3,of_calculation_heat_loss.altitude_13,-12.0
of_calculation_heat_loss.of_calculation_base_temperature_line_13,of_calculation_heat_loss.base_temperature_3,of_calculation_heat_loss.altitude_14,-12.0
of_calculation_heat_loss.of_calculation_base_temperature_line_14,of_calculation_heat_loss.base_temperature_3,of_calculation_heat_loss.altitude_15,-12.0
of_calculation_heat_loss.of_calculation_base_temperature_line_15,of_calculation_heat_loss.base_temperature_3,of_calculation_heat_loss.altitude_16,-13.0
