"id","parent_id:id","name"
"of_naf_A","","[A] AGRICULTURE, SYLVICULTURE ET PÊCHE"
"of_naf_01","of_naf_A","[01] Culture et production animale, chasse et services annexes"
"of_naf_01_1","of_naf_01","[01.1] Cultures non permanentes"
"of_naf_01_11","of_naf_01_1","[01.11] Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
"of_naf_01_12","of_naf_01_1","[01.12] Culture du riz"
"of_naf_01_13","of_naf_01_1","[01.13] Culture de légumes, de melons, de racines et de tubercules"
"of_naf_01_14","of_naf_01_1","[01.14] Culture de la canne à sucre"
"of_naf_01_15","of_naf_01_1","[01.15] Culture du tabac"
"of_naf_01_16","of_naf_01_1","[01.16] Culture de plantes à fibres"
"of_naf_01_19","of_naf_01_1","[01.19] Autres cultures non permanentes"
"of_naf_01_2","of_naf_01","[01.2] Cultures permanentes"
"of_naf_01_21","of_naf_01_2","[01.21] Culture de la vigne"
"of_naf_01_22","of_naf_01_2","[01.22] Culture de fruits tropicaux et subtropicaux"
"of_naf_01_23","of_naf_01_2","[01.23] Culture d'agrumes"
"of_naf_01_24","of_naf_01_2","[01.24] Culture de fruits à pépins et à noyau"
"of_naf_01_25","of_naf_01_2","[01.25] Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque"
"of_naf_01_26","of_naf_01_2","[01.26] Culture de fruits oléagineux"
"of_naf_01_27","of_naf_01_2","[01.27] Culture de plantes à boissons"
"of_naf_01_28","of_naf_01_2","[01.28] Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
"of_naf_01_29","of_naf_01_2","[01.29] Autres cultures permanentes"
"of_naf_01_3","of_naf_01","[01.3] Reproduction de plantes"
"of_naf_01_30","of_naf_01_3","[01.30] Reproduction de plantes"
"of_naf_01_4","of_naf_01","[01.4] Production animale"
"of_naf_01_41","of_naf_01_4","[01.41] Élevage de vaches laitières"
"of_naf_01_42","of_naf_01_4","[01.42] Élevage d'autres bovins et de buffles"
"of_naf_01_43","of_naf_01_4","[01.43] Élevage de chevaux et d'autres équidés"
"of_naf_01_44","of_naf_01_4","[01.44] Élevage de chameaux et d'autres camélidés"
"of_naf_01_45","of_naf_01_4","[01.45] Élevage d'ovins et de caprins"
"of_naf_01_46","of_naf_01_4","[01.46] Élevage de porcins"
"of_naf_01_47","of_naf_01_4","[01.47] Élevage de volailles"
"of_naf_01_49","of_naf_01_4","[01.49] Élevage d'autres animaux"
"of_naf_01_5","of_naf_01","[01.5] Culture et élevage associés"
"of_naf_01_50","of_naf_01_5","[01.50] Culture et élevage associés"
"of_naf_01_6","of_naf_01","[01.6] Activités de soutien à l'agriculture et traitement primaire des récoltes"
"of_naf_01_61","of_naf_01_6","[01.61] Activités de soutien aux cultures"
"of_naf_01_62","of_naf_01_6","[01.62] Activités de soutien à la production animale"
"of_naf_01_63","of_naf_01_6","[01.63] Traitement primaire des récoltes"
"of_naf_01_64","of_naf_01_6","[01.64] Traitement des semences"
"of_naf_01_7","of_naf_01","[01.7] Chasse, piégeage et services annexes"
"of_naf_01_70","of_naf_01_7","[01.70] Chasse, piégeage et services annexes"
"of_naf_02","of_naf_A","[02] Sylviculture et exploitation forestière"
"of_naf_02_1","of_naf_02","[02.1] Sylviculture et autres activités forestières"
"of_naf_02_10","of_naf_02_1","[02.10] Sylviculture et autres activités forestières"
"of_naf_02_2","of_naf_02","[02.2] Exploitation forestière"
"of_naf_02_20","of_naf_02_2","[02.20] Exploitation forestière"
"of_naf_02_3","of_naf_02","[02.3] Récolte de produits forestiers non ligneux poussant à l'état sauvage"
